,Words,P-Value,Frequency
185,near,5.567369371705285e-06,8
186,net,5.567369371705285e-06,22
187,normal,5.567369371705285e-06,10
188,offer,5.567369371705285e-06,44
189,one,5.567369371705285e-06,170
190,outside,5.567369371705285e-06,15
191,people,5.567369371705285e-06,50
192,problem,5.567369371705285e-06,40
193,rcvd,5.567369371705285e-06,9
194,rose,5.567369371705285e-06,9
195,row,5.567369371705285e-06,20
196,search,5.567369371705285e-06,17
197,shower,5.567369371705285e-06,12
198,slow,5.567369371705285e-06,11
199,slowly,5.567369371705285e-06,10
200,sorry,5.567369371705285e-06,151
201,sub,5.567369371705285e-06,15
202,take,5.567369371705285e-06,152
203,talking,5.567369371705285e-06,13
204,tampa,5.567369371705285e-06,9
205,ten,5.567369371705285e-06,14
206,using,5.567369371705285e-06,9
207,wap,5.567369371705285e-06,8
208,warm,5.567369371705285e-06,10
209,win,5.567369371705285e-06,80
210,working,5.567369371705285e-06,29
211,year,5.567369371705285e-06,75
212,darling,5.567369371705285e-06,7
213,key,5.567369371705285e-06,7
214,somebody,1.1013685843591049e-05,11
215,fucking,3.4560931694915826e-05,15
216,hiya,3.4560931694915826e-05,9
217,shop,3.4560931694915826e-05,21
218,tot,3.4560931694915826e-05,21
219,unless,3.4560931694915826e-05,9
220,afternoon,4.206427614669648e-05,29
221,always,4.206427614669648e-05,57
222,amp,4.206427614669648e-05,70
223,anyone,4.206427614669648e-05,16
224,ard,4.206427614669648e-05,21
225,bonus,4.206427614669648e-05,21
226,boy,4.206427614669648e-05,27
227,break,4.206427614669648e-05,17
228,bring,4.206427614669648e-05,24
229,buck,4.206427614669648e-05,7
230,camcorder,4.206427614669648e-05,15
231,came,4.206427614669648e-05,27
232,cancel,4.206427614669648e-05,8
233,cant,4.206427614669648e-05,64
234,chat,4.206427614669648e-05,52
235,cheer,4.206427614669648e-05,11
236,chennai,4.206427614669648e-05,14
237,choose,4.206427614669648e-05,17
238,christmas,4.206427614669648e-05,11
239,club,4.206427614669648e-05,17
240,com,4.206427614669648e-05,74
241,come,4.206427614669648e-05,236
242,cum,4.206427614669648e-05,14
243,cup,4.206427614669648e-05,9
244,custcare,4.206427614669648e-05,10
245,cute,4.206427614669648e-05,8
246,daddy,4.206427614669648e-05,8
247,day,4.206427614669648e-05,262
248,dream,4.206427614669648e-05,26
249,dude,4.206427614669648e-05,23
250,eat,4.206427614669648e-05,35
251,entered,4.206427614669648e-05,11
252,excellent,4.206427614669648e-05,9
253,far,4.206427614669648e-05,16
254,fill,4.206427614669648e-05,8
255,forever,4.206427614669648e-05,9
256,keep,4.206427614669648e-05,66
257,knw,4.206427614669648e-05,13
258,landline,4.206427614669648e-05,36
259,leaf,4.206427614669648e-05,11
260,meant,4.206427614669648e-05,14
261,meh,4.206427614669648e-05,9
262,monday,4.206427614669648e-05,11
263,much,4.206427614669648e-05,109
264,nite,4.206427614669648e-05,31
265,nobody,4.206427614669648e-05,10
266,nyt,4.206427614669648e-05,12
267,omg,4.206427614669648e-05,8
268,pain,4.206427614669648e-05,26
269,pas,4.206427614669648e-05,13
270,pete,4.206427614669648e-05,10
271,pix,4.206427614669648e-05,8
272,please,4.206427614669648e-05,130
273,pretty,4.206427614669648e-05,15
274,prize,4.206427614669648e-05,87
275,put,4.206427614669648e-05,30
276,question,4.206427614669648e-05,34
277,ready,4.206427614669648e-05,41
278,really,4.206427614669648e-05,83
279,red,4.206427614669648e-05,10
280,rent,4.206427614669648e-05,11
281,right,4.206427614669648e-05,88
282,ringtone,4.206427614669648e-05,29
283,round,4.206427614669648e-05,9
284,sae,4.206427614669648e-05,21
285,sale,4.206427614669648e-05,10
286,savamob,4.206427614669648e-05,8
287,sch,4.206427614669648e-05,20
288,seems,4.206427614669648e-05,9
289,self,4.206427614669648e-05,8
290,semester,4.206427614669648e-05,11
291,shirt,4.206427614669648e-05,8
292,shit,4.206427614669648e-05,36
293,short,4.206427614669648e-05,10
294,simple,4.206427614669648e-05,11
295,sitting,4.206427614669648e-05,9
296,sleep,4.206427614669648e-05,56
297,sort,4.206427614669648e-05,12
298,speak,4.206427614669648e-05,33
299,started,4.206427614669648e-05,19
300,staying,4.206427614669648e-05,9
301,sunshine,4.206427614669648e-05,9
302,teach,4.206427614669648e-05,8
303,tear,4.206427614669648e-05,8
304,tho,4.206427614669648e-05,18
305,touch,4.206427614669648e-05,17
306,trouble,4.206427614669648e-05,8
307,urself,4.206427614669648e-05,9
308,usf,4.206427614669648e-05,11
309,usual,4.206427614669648e-05,10
310,voucher,4.206427614669648e-05,37
311,wake,4.206427614669648e-05,26
312,wana,4.206427614669648e-05,11
313,week,4.206427614669648e-05,124
314,weekly,4.206427614669648e-05,24
315,well,4.206427614669648e-05,118
316,whenever,4.206427614669648e-05,10
317,whole,4.206427614669648e-05,14
318,wife,4.206427614669648e-05,23
319,wine,4.206427614669648e-05,11
320,wish,4.206427614669648e-05,56
321,wishing,4.206427614669648e-05,10
322,wkly,4.206427614669648e-05,14
323,yet,4.206427614669648e-05,49
324,condition,4.206427614669648e-05,7
325,file,4.206427614669648e-05,7
326,meaning,4.206427614669648e-05,7
327,share,4.206427614669648e-05,7
328,team,4.206427614669648e-05,7
329,find,0.00012263459101258928,84
330,gal,0.00012263459101258928,11
331,shopping,0.00012263459101258928,31
332,fantastic,0.0002245494509618022,10
333,figure,0.0002245494509618022,10
334,med,0.0002245494509618022,9
335,others,0.0002245494509618022,9
336,thats,0.0002245494509618022,43
337,awaiting,0.00026221657846871467,8
338,aha,0.00031707233335491036,8
339,already,0.00031707233335491036,89
340,alright,0.00031707233335491036,24
341,also,0.00031707233335491036,71
342,anymore,0.00031707233335491036,8
343,anytime,0.00031707233335491036,16
344,anyway,0.00031707233335491036,29
345,awarded,0.00031707233335491036,38
346,believe,0.00031707233335491036,20
347,best,0.00031707233335491036,49
348,cake,0.00031707233335491036,9
349,care,0.00031707233335491036,73
350,case,0.00031707233335491036,14
351,cinema,0.00031707233335491036,8
352,close,0.00031707233335491036,20
353,code,0.00031707233335491036,31
354,cold,0.00031707233335491036,7
355,comp,0.00031707233335491036,12
356,completely,0.00031707233335491036,9
357,congrats,0.00031707233335491036,19
358,credit,0.00031707233335491036,23
359,dat,0.00031707233335491036,40
360,dear,0.00031707233335491036,114
361,deep,0.00031707233335491036,10
362,del,0.00031707233335491036,10
363,download,0.00031707233335491036,11
364,driving,0.00031707233335491036,21
365,dunno,0.00031707233335491036,31
366,easy,0.00031707233335491036,31
367,either,0.00031707233335491036,22
368,end,0.00031707233335491036,50
369,ending,0.00031707233335491036,9
370,england,0.00031707233335491036,9
371,enjoy,0.00031707233335491036,40
372,everyone,0.00031707233335491036,17
373,expires,0.00031707233335491036,17
374,family,0.00031707233335491036,22
375,fantasy,0.00031707233335491036,11
376,feel,0.00031707233335491036,63
377,film,0.00031707233335491036,13
378,final,0.00031707233335491036,18
379,fixed,0.00031707233335491036,8
380,flight,0.00031707233335491036,9
381,full,0.00031707233335491036,21
382,happy,0.00031707233335491036,86
383,hee,0.00031707233335491036,13
384,help,0.00031707233335491036,59
385,however,0.00031707233335491036,8
386,idea,0.00031707233335491036,11
387,ill,0.00031707233335491036,41
388,immediately,0.00031707233335491036,10
389,joy,0.00031707233335491036,9
390,juz,0.00031707233335491036,24
391,kick,0.00031707233335491036,10
392,kind,0.00031707233335491036,16
393,kinda,0.00031707233335491036,9
394,know,0.00031707233335491036,253
395,laptop,0.00031707233335491036,12
396,late,0.00031707233335491036,57
397,liao,0.00031707233335491036,37
398,light,0.00031707233335491036,14
399,like,0.00031707233335491036,231
400,link,0.00031707233335491036,11
401,live,0.00031707233335491036,41
402,lost,0.00031707233335491036,13
403,love,0.00031707233335491036,182
404,moment,0.00031707233335491036,13
405,okay,0.00031707233335491036,27
406,oso,0.00031707233335491036,23
407,otherwise,0.00031707233335491036,10
408,page,0.00031707233335491036,10
409,paper,0.00031707233335491036,11
410,parent,0.00031707233335491036,16
411,planning,0.00031707233335491036,8
412,project,0.00031707233335491036,15
413,promise,0.00031707233335491036,10
414,pub,0.00031707233335491036,19
415,quick,0.00031707233335491036,8
416,rate,0.00031707233335491036,42
417,reached,0.00031707233335491036,10
418,reading,0.00031707233335491036,13
419,receive,0.00031707233335491036,34
420,record,0.00031707233335491036,8
421,rest,0.00031707233335491036,11
422,result,0.00031707233335491036,9
423,ringtones,0.00031707233335491036,9
424,sad,0.00031707233335491036,21
425,said,0.00031707233335491036,80
426,seeing,0.00031707233335491036,14
427,selected,0.00031707233335491036,29
428,sent,0.00031707233335491036,67
429,seriously,0.00031707233335491036,9
430,set,0.00031707233335491036,20
431,shall,0.00031707233335491036,31
432,since,0.00031707233335491036,27
433,situation,0.00031707233335491036,10
434,smiling,0.00031707233335491036,16
435,starting,0.00031707233335491036,9
436,store,0.00031707233335491036,13
437,street,0.00031707233335491036,9
438,test,0.00031707233335491036,24
439,thing,0.00031707233335491036,106
440,thinkin,0.00031707233335491036,9
441,tmr,0.00031707233335491036,27
442,tonite,0.00031707233335491036,9
443,treat,0.00031707233335491036,17
444,valentine,0.00031707233335491036,16
445,wan,0.00031707233335491036,56
446,wanna,0.00031707233335491036,38
447,wat,0.00031707233335491036,102
448,watching,0.00031707233335491036,34
449,water,0.00031707233335491036,10
450,way,0.00031707233335491036,98
451,welcome,0.00031707233335491036,16
452,wen,0.00031707233335491036,23
453,went,0.00031707233335491036,53
454,wid,0.00031707233335491036,20
455,within,0.00031707233335491036,13
456,www,0.00031707233335491036,100
457,alrite,0.00031707233335491036,7
458,bother,0.00031707233335491036,7
459,cine,0.00031707233335491036,7
460,learn,0.00031707233335491036,7
461,lift,0.00031707233335491036,7
462,omw,0.00031707233335491036,7
463,sport,0.00031707233335491036,7
464,prob,0.0003264642147669646,16
465,anything,0.0006995226337448559,72
466,neva,0.0006995226337448559,17
467,call,0.0012998164305110442,568
468,blood,0.0014171071147884933,8
469,play,0.0014171071147884933,39
470,complimentary,0.002384444141252991,12
471,computer,0.002384444141252991,13
472,drop,0.002384444141252991,19
473,lol,0.002384444141252991,74
474,open,0.002384444141252991,17
475,customer,0.0038022288183725736,60
476,sick,0.0038022288183725736,9
477,wondering,0.0038022288183725736,9
478,leaving,0.007214150751747041,20
479,called,0.007939182762241231,33
480,beautiful,0.008586568075599547,19
481,else,0.008586568075599547,24
482,finish,0.008586568075599547,42
483,name,0.008586568075599547,48
484,plus,0.008586568075599547,23
485,remember,0.008586568075599547,32
486,ring,0.008586568075599547,21
487,weed,0.008586568075599547,9
488,buy,0.013609884859555102,62
489,lose,0.01723996252039052,12
490,bcoz,0.019340776964556383,11
491,fuck,0.019340776964556383,28
492,today,0.019340776964556383,180
493,tried,0.019340776964556383,22
494,mistake,0.9999999999999993,10
495,sir,0.9999999999999997,38
496,freemsg,0.9999999999999998,14
497,top,0.9999999999999998,23
498,unlimited,0.9999999999999998,13
499,abt,1.0,24
500,across,1.0,10
501,actually,1.0,32
502,add,1.0,8
503,address,1.0,22
504,admirer,1.0,10
505,aft,1.0,19
506,ago,1.0,13
507,aight,1.0,33
508,alex,1.0,8
509,alone,1.0,17
510,angry,1.0,14
511,another,1.0,37
512,asked,1.0,28
513,asking,1.0,11
514,attempt,1.0,24
515,auction,1.0,12
516,available,1.0,18
517,ave,1.0,8
518,await,1.0,20
519,away,1.0,25
520,awesome,1.0,19
521,babe,1.0,82
522,baby,1.0,32
523,back,1.0,147
524,bad,1.0,32
525,bag,1.0,10
526,bak,1.0,8
527,balance,1.0,13
528,bed,1.0,30
529,better,1.0,42
530,big,1.0,36
531,bill,1.0,11
532,box,1.0,62
533,bslvyl,1.0,13
534,buying,1.0,8
535,caller,1.0,18
536,calling,1.0,21
537,camera,1.0,34
538,carlos,1.0,17
539,catch,1.0,10
540,chance,1.0,41
541,change,1.0,24
542,chikku,1.0,17
543,child,1.0,13
544,claim,1.0,109
545,collection,1.0,26
546,college,1.0,16
547,colour,1.0,23
548,coming,1.0,50
549,confirm,1.0,12
550,content,1.0,16
551,cool,1.0,41
552,copy,1.0,10
553,correct,1.0,12
554,cost,1.0,46
555,could,1.0,56
556,cover,1.0,10
557,coz,1.0,22
558,crave,1.0,11
559,dad,1.0,30
560,darlin,1.0,15
561,date,1.0,22
562,dating,1.0,17
563,decimal,1.0,22
564,den,1.0,28
565,didnt,1.0,30
566,difficult,1.0,12
567,din,1.0,8
568,dinner,1.0,36
569,dis,1.0,27
570,discount,1.0,11
571,dnt,1.0,13
572,dog,1.0,8
573,doin,1.0,10
574,done,1.0,49
575,dont,1.0,134
576,door,1.0,11
577,double,1.0,20
578,draw,1.0,44
579,drive,1.0,18
580,drug,1.0,15
581,dun,1.0,51
582,dvd,1.0,8
583,egg,1.0,8
584,email,1.0,18
585,entitled,1.0,8
586,entry,1.0,23
587,especially,1.0,9
588,eve,1.0,19
589,even,1.0,59
590,evening,1.0,30
591,ever,1.0,30
592,excuse,1.0,9
593,facebook,1.0,8
594,fact,1.0,11
595,fall,1.0,8
596,fancy,1.0,17
597,father,1.0,9
598,feeling,1.0,22
599,finally,1.0,15
600,finished,1.0,19
601,first,1.0,62
602,forget,1.0,16
603,forgot,1.0,32
604,freephone,1.0,8
605,frens,1.0,8
606,fri,1.0,13
607,frnd,1.0,15
608,frnds,1.0,14
609,gas,1.0,13
610,gbp,1.0,16
611,get,1.0,383
612,gettin,1.0,9
613,gift,1.0,27
614,girl,1.0,44
615,give,1.0,101
616,god,1.0,41
617,going,1.0,167
618,gone,1.0,16
619,goodnight,1.0,9
620,got,1.0,229
621,gotta,1.0,12
622,grin,1.0,12
623,guaranteed,1.0,50
624,gud,1.0,50
625,guess,1.0,39
626,guy,1.0,61
627,gym,1.0,12
628,haf,1.0,23
629,half,1.0,40
630,hand,1.0,16
631,happen,1.0,20
632,happened,1.0,16
633,happening,1.0,7
634,happiness,1.0,12
635,hard,1.0,16
636,hav,1.0,24
637,havent,1.0,24
638,head,1.0,21
639,heard,1.0,12
640,hey,1.0,111
641,hit,1.0,16
642,hmm,1.0,14
643,hmmm,1.0,13
644,hold,1.0,14
645,home,1.0,165
646,honey,1.0,8
647,hope,1.0,112
648,hoping,1.0,9
649,hospital,1.0,11
650,hot,1.0,22
651,hotel,1.0,9
652,hour,1.0,52
653,house,1.0,41
654,http,1.0,21
655,huh,1.0,20
656,hungry,1.0,13
657,hurt,1.0,26
658,ice,1.0,9
659,identifier,1.0,16
660,india,1.0,12
661,info,1.0,20
662,information,1.0,12
663,interested,1.0,8
664,invited,1.0,13
665,ipod,1.0,12
666,ish,1.0,12
667,issue,1.0,8
668,john,1.0,9
669,join,1.0,27
670,joined,1.0,8
671,jus,1.0,32
672,kid,1.0,10
673,knew,1.0,12
674,lady,1.0,12
675,land,1.0,34
676,lar,1.0,37
677,last,1.0,78
678,later,1.0,132
679,latest,1.0,38
680,laugh,1.0,11
681,lazy,1.0,9
682,ldew,1.0,9
683,least,1.0,15
684,leh,1.0,29
685,lemme,1.0,8
686,lesson,1.0,25
687,let,1.0,93
688,letter,1.0,8
689,listen,1.0,13
690,little,1.0,29
691,load,1.0,12
692,log,1.0,14
693,logo,1.0,7
694,long,1.0,42
695,longer,1.0,8
696,look,1.0,38
697,looking,1.0,29
698,lovely,1.0,15
699,lover,1.0,11
700,loving,1.0,17
701,luck,1.0,12
702,lucky,1.0,17
703,lunch,1.0,39
704,luv,1.0,30
705,made,1.0,27
706,make,1.0,119
707,making,1.0,23
708,man,1.0,46
709,mark,1.0,8
710,match,1.0,16
711,mate,1.0,29
712,maximize,1.0,7
713,may,1.0,48
714,member,1.0,11
715,message,1.0,113
716,met,1.0,12
717,might,1.0,35
718,min,1.0,122
719,mind,1.0,40
720,minute,1.0,50
721,miss,1.0,74
722,missed,1.0,25
723,missing,1.0,18
724,mob,1.0,26
725,mobileupd,1.0,16
726,mom,1.0,20
727,money,1.0,56
728,month,1.0,47
729,moon,1.0,8
730,moral,1.0,9
731,morning,1.0,77
732,motorola,1.0,13
733,mrng,1.0,13
734,mrt,1.0,9
735,msg,1.0,125
736,music,1.0,23
737,nah,1.0,10
738,nigeria,1.0,8
739,night,1.0,112
740,noe,1.0,20
741,nokia,1.0,57
742,noon,1.0,9
743,norm,1.0,9
744,oops,1.0,10
745,opinion,1.0,10
746,opt,1.0,17
747,optout,1.0,23
748,orchard,1.0,11
749,order,1.0,20
750,park,1.0,13
751,party,1.0,16
752,paying,1.0,8
753,per,1.0,58
754,person,1.0,50
755,photo,1.0,12
756,pic,1.0,29
757,picked,1.0,8
758,picking,1.0,12
759,player,1.0,22
760,plz,1.0,21
761,pobox,1.0,42
762,point,1.0,33
763,poly,1.0,17
764,polys,1.0,8
765,poor,1.0,9
766,possible,1.0,9
767,post,1.0,20
768,pound,1.0,28
769,private,1.0,19
770,quite,1.0,35
771,rain,1.0,9
772,rakhesh,1.0,10
773,reach,1.0,31
774,real,1.0,39
775,reason,1.0,18
776,recently,1.0,7
777,redeemed,1.0,12
778,reference,1.0,9
779,registered,1.0,8
780,request,1.0,11
781,return,1.0,12
782,rock,1.0,11
783,room,1.0,38
784,safe,1.0,11
785,save,1.0,11
786,secret,1.0,16
787,see,1.0,157
788,sell,1.0,10
789,send,1.0,194
790,sending,1.0,12
791,show,1.0,61
792,sign,1.0,8
793,single,1.0,12
794,sleeping,1.0,20
795,small,1.0,11
796,smile,1.0,38
797,smoke,1.0,14
798,sofa,1.0,9
799,someone,1.0,56
800,something,1.0,68
801,somewhere,1.0,10
802,sony,1.0,10
803,soon,1.0,60
804,sound,1.0,28
805,space,1.0,8
806,spent,1.0,8
807,std,1.0,11
808,still,1.0,154
809,stop,1.0,142
810,study,1.0,10
811,studying,1.0,9
812,stuff,1.0,45
813,stupid,1.0,13
814,style,1.0,9
815,suite,1.0,19
816,sun,1.0,17
817,sunday,1.0,11
818,supposed,1.0,11
819,sure,1.0,68
820,surprise,1.0,12
821,sweet,1.0,37
822,swing,1.0,12
823,taking,1.0,18
824,talk,1.0,47
825,tat,1.0,7
826,tel,1.0,14
827,tell,1.0,140
828,telling,1.0,12
829,thank,1.0,29
830,thanks,1.0,75
831,think,1.0,143
832,thinking,1.0,19
833,thk,1.0,47
834,though,1.0,27
835,thought,1.0,48
836,thru,1.0,8
837,tht,1.0,9
838,ticket,1.0,15
839,time,1.0,234
840,tired,1.0,13
841,told,1.0,53
842,tone,1.0,55
843,tonight,1.0,59
844,trip,1.0,22
845,trust,1.0,9
846,try,1.0,49
847,trying,1.0,43
848,turn,1.0,10
849,two,1.0,32
850,txt,1.0,168
851,txting,1.0,11
852,txts,1.0,13
853,type,1.0,17
854,understand,1.0,13
855,urgent,1.0,69
856,use,1.0,48
857,used,1.0,15
858,valid,1.0,27
859,valued,1.0,13
860,video,1.0,32
861,visit,1.0,16
862,voice,1.0,10
863,wait,1.0,65
864,walk,1.0,19
865,want,1.0,208
866,whats,1.0,17
867,wil,1.0,18
868,woke,1.0,10
869,wonderful,1.0,14
870,wont,1.0,31
871,word,1.0,59
872,work,1.0,102
873,world,1.0,37
874,worth,1.0,17
875,wot,1.0,24
876,would,1.0,69
877,wow,1.0,12
878,write,1.0,10
879,wrong,1.0,15
880,yar,1.0,13
881,yeah,1.0,86
882,yep,1.0,10
883,bird,1.0,7
884,happens,1.0,7
885,including,1.0,7
886,model,1.0,7
887,planned,1.0,7
888,umma,1.0,7
