,Words,P-Value,Frequency
60,tone txt txting,7.351328964510257e-07,7
61,txt txting week,7.351328964510257e-07,7
62,age awarded com,5.567369371705285e-06,6
63,await call collection,5.567369371705285e-06,6
64,call camera day,5.567369371705285e-06,6
65,call cash customer,5.567369371705285e-06,6
66,call collection cost,5.567369371705285e-06,6
67,call double free,5.567369371705285e-06,6
68,camera day delivery,5.567369371705285e-06,6
69,claim guaranteed land,5.567369371705285e-06,6
70,collection cost costa,5.567369371705285e-06,6
71,com day fantastic,5.567369371705285e-06,6
72,cost costa del,5.567369371705285e-06,6
73,day delivery digital,5.567369371705285e-06,6
74,day fantastic find,5.567369371705285e-06,6
75,ending match number,5.567369371705285e-06,6
76,entitled free latest,5.567369371705285e-06,6
77,fantastic find http,5.567369371705285e-06,6
78,find http important,5.567369371705285e-06,6
79,free latest min,5.567369371705285e-06,6
80,get getzed mate,5.567369371705285e-06,6
81,guaranteed please prize,5.567369371705285e-06,6
82,holiday max min,5.567369371705285e-06,6
83,http important information,5.567369371705285e-06,6
84,important information log,5.567369371705285e-06,6
85,information log lucky,5.567369371705285e-06,6
86,latest min mobileupd,5.567369371705285e-06,6
87,max min pobox,5.567369371705285e-06,6
88,member mobile offer,5.567369371705285e-06,6
89,min mobileupd motorola,5.567369371705285e-06,6
90,min pobox sae,5.567369371705285e-06,6
91,mobile number ppm,5.567369371705285e-06,6
92,mobileupd motorola nokia,5.567369371705285e-06,6
93,motorola nokia optout,5.567369371705285e-06,6
94,nokia optout orange,5.567369371705285e-06,6
95,number ppm prize,5.567369371705285e-06,6
96,operator receive selected,5.567369371705285e-06,6
97,please prize representative,5.567369371705285e-06,6
98,pobox sae sol,5.567369371705285e-06,6
99,pobox service someone,5.567369371705285e-06,6
100,ppm sae tenerife,5.567369371705285e-06,6
101,receive selected speak,5.567369371705285e-06,6
102,reply see send,5.567369371705285e-06,6
103,sae sol stockport,5.567369371705285e-06,6
104,secret special think,5.567369371705285e-06,6
105,see send stop,5.567369371705285e-06,6
106,selected speak specially,5.567369371705285e-06,6
107,send stop www,5.567369371705285e-06,6
108,sol stockport toclaim,5.567369371705285e-06,6
109,speak specially winner,5.567369371705285e-06,6
110,stop text unsubscribe,5.567369371705285e-06,6
111,stop www yes,5.567369371705285e-06,6
112,sub text today,5.567369371705285e-06,6
113,txt voucher week,5.567369371705285e-06,6
114,txting week www,5.567369371705285e-06,6
115,win wkly www,5.567369371705285e-06,6
116,announcement call customer,4.206427614669648e-05,5
117,anytime call camcorder,4.206427614669648e-05,5
118,anytime call delivery,4.206427614669648e-05,5
119,arrive call charged,4.206427614669648e-05,5
120,asap attempt bonus,4.206427614669648e-05,5
121,awaiting com day,4.206427614669648e-05,5
122,award call claim,4.206427614669648e-05,5
123,awarded bonus call,4.206427614669648e-05,5
124,awarded com congratulation,4.206427614669648e-05,5
125,box call croydon,4.206427614669648e-05,5
126,call caller contact,4.206427614669648e-05,5
127,call caller mobile,4.206427614669648e-05,5
128,call camcorder colour,4.206427614669648e-05,5
129,call camcorder contact,4.206427614669648e-05,5
130,call congrats dload,4.206427614669648e-05,5
131,call contacted dating,4.206427614669648e-05,5
132,call croydon fantasy,4.206427614669648e-05,5
133,cash chance custcare,4.206427614669648e-05,5
134,chance claim discount,4.206427614669648e-05,5
135,charge comuk credit,4.206427614669648e-05,5
136,claim code contact,4.206427614669648e-05,5
137,claim code ending,4.206427614669648e-05,5
138,claim contact easy,4.206427614669648e-05,5
139,code contact draw,4.206427614669648e-05,5
140,com congratulation draw,4.206427614669648e-05,5
141,comuk credit extra,4.206427614669648e-05,5
142,congrats dload game,4.206427614669648e-05,5
143,costa del holiday,4.206427614669648e-05,5
144,croydon fantasy hot,4.206427614669648e-05,5
145,dload game java,4.206427614669648e-05,5
146,fantasy hot live,4.206427614669648e-05,5
147,find know land,4.206427614669648e-05,5
148,free minute mobile,4.206427614669648e-05,5
149,game java mate,4.206427614669648e-05,5
150,half line min,4.206427614669648e-05,5
151,hot live ltd,4.206427614669648e-05,5
152,immediately message please,4.206427614669648e-05,5
153,java mate mobile,4.206427614669648e-05,5
154,live ltd min,4.206427614669648e-05,5
155,log lucky onto,4.206427614669648e-05,5
156,login net pls,4.206427614669648e-05,5
157,ltd min national,4.206427614669648e-05,5
158,match number please,4.206427614669648e-05,5
159,mate mob nokia,4.206427614669648e-05,5
160,mate mobile music,4.206427614669648e-05,5
161,maximize msg pound,4.206427614669648e-05,5
162,message please urgent,4.206427614669648e-05,5
163,min national ntt,4.206427614669648e-05,5
164,minute mobile new,4.206427614669648e-05,5
165,minute national per,4.206427614669648e-05,5
166,mob nokia norm,4.206427614669648e-05,5
167,mobile music noline,4.206427614669648e-05,5
168,mobile number order,4.206427614669648e-05,5
169,mobile offer pobox,4.206427614669648e-05,5
170,music noline play,4.206427614669648e-05,5
171,music ppmx tncs,4.206427614669648e-05,5
172,national ntt per,4.206427614669648e-05,5
173,new nokia offer,4.206427614669648e-05,5
174,new nokia phone,4.206427614669648e-05,5
175,nokia part row,4.206427614669648e-05,5
176,nokia phone reply,4.206427614669648e-05,5
177,ntt per rate,4.206427614669648e-05,5
178,number order please,4.206427614669648e-05,5
179,offer pobox savamob,4.206427614669648e-05,5
180,phone reply text,4.206427614669648e-05,5
181,please quoting rate,4.206427614669648e-05,5
182,please urgent waiting,4.206427614669648e-05,5
183,poly ringtone stop,4.206427614669648e-05,5
184,ppm sae urgent,4.206427614669648e-05,5
185,price rental reply,4.206427614669648e-05,5
186,prize rate time,4.206427614669648e-05,5
187,prize reach urgent,4.206427614669648e-05,5
188,prize show trying,4.206427614669648e-05,5
189,quoting rate receive,4.206427614669648e-05,5
190,rate time tried,4.206427614669648e-05,5
191,rentl videochat videophones,4.206427614669648e-05,5
192,reply text tomorrow,4.206427614669648e-05,5
193,ringtone service thanks,4.206427614669648e-05,5
194,ringtone stop text,4.206427614669648e-05,5
195,selected standard today,4.206427614669648e-05,5
196,send service stop,4.206427614669648e-05,5
197,standard today voda,4.206427614669648e-05,5
198,surprise today urawinner,4.206427614669648e-05,5
199,text unsubscribe www,4.206427614669648e-05,5
200,tomorrow video want,4.206427614669648e-05,5
201,tone txt zed,4.206427614669648e-05,5
202,txt weekly win,4.206427614669648e-05,5
203,txt win wkly,4.206427614669648e-05,5
204,videochat videophones wid,4.206427614669648e-05,5
205,voucher worth yes,4.206427614669648e-05,5
206,ansr country dvd,0.00031707233335491036,4
207,app award call,0.00031707233335491036,4
208,apply claim dear,0.00031707233335491036,4
209,attempt awarded bonus,0.00031707233335491036,4
210,attempt bonus box,0.00031707233335491036,4
211,attempt chat contact,0.00031707233335491036,4
212,auction free get,0.00031707233335491036,4
213,awarded bonus box,0.00031707233335491036,4
214,awarded call camera,0.00031707233335491036,4
215,balance cash currently,0.00031707233335491036,4
216,call cant contact,0.00031707233335491036,4
217,call cash collect,0.00031707233335491036,4
218,call charged customer,0.00031707233335491036,4
219,call chat cheap,0.00031707233335491036,4
220,call immediately message,0.00031707233335491036,4
221,call message new,0.00031707233335491036,4
222,camera colour december,0.00031707233335491036,4
223,cant contact dating,0.00031707233335491036,4
224,cash claim cost,0.00031707233335491036,4
225,cash customer freephone,0.00031707233335491036,4
226,charged customer mobile,0.00031707233335491036,4
227,chat contact dear,0.00031707233335491036,4
228,claim code expires,0.00031707233335491036,4
229,claim flight holiday,0.00031707233335491036,4
230,code ending match,0.00031707233335491036,4
231,colour december entitled,0.00031707233335491036,4
232,complimentary holiday ibiza,0.00031707233335491036,4
233,contact dating guess,0.00031707233335491036,4
234,contact dear final,0.00031707233335491036,4
235,country dvd know,0.00031707233335491036,4
236,credit extra goto,0.00031707233335491036,4
237,customer freephone guaranteed,0.00031707233335491036,4
238,customer guaranteed prize,0.00031707233335491036,4
239,dating find know,0.00031707233335491036,4
240,dating guess know,0.00031707233335491036,4
241,dear final invited,0.00031707233335491036,4
242,december entitled free,0.00031707233335491036,4
243,del holiday max,0.00031707233335491036,4
244,delivery digital fromm,0.00031707233335491036,4
245,digital fromm landline,0.00031707233335491036,4
246,draw either entry,0.00031707233335491036,4
247,either entry free,0.00031707233335491036,4
248,eng england flag,0.00031707233335491036,4
249,every free friend,0.00031707233335491036,4
250,extra goto help,0.00031707233335491036,4
251,flight holiday inc,0.00031707233335491036,4
252,free friend get,0.00031707233335491036,4
253,free get jhl,0.00031707233335491036,4
254,free half line,0.00031707233335491036,4
255,freephone guaranteed please,0.00031707233335491036,4
256,friend frnd inviting,0.00031707233335491036,4
257,friend get info,0.00031707233335491036,4
258,fromm landline sipix,0.00031707233335491036,4
259,get info mob,0.00031707233335491036,4
260,get jhl land,0.00031707233335491036,4
261,get mobile official,0.00031707233335491036,4
262,getzed mate mob,0.00031707233335491036,4
263,guaranteed prize representative,0.00031707233335491036,4
264,help inclusive login,0.00031707233335491036,4
265,holder http offer,0.00031707233335491036,4
266,holiday ibiza landline,0.00031707233335491036,4
267,holiday inc live,0.00031707233335491036,4
268,inclusive login net,0.00031707233335491036,4
269,invited land ldn,0.00031707233335491036,4
270,jhl land nokia,0.00031707233335491036,4
271,join laid largest,0.00031707233335491036,4
272,laid largest location,0.00031707233335491036,4
273,land nokia part,0.00031707233335491036,4
274,landline ppm sae,0.00031707233335491036,4
275,landline sipix within,0.00031707233335491036,4
276,live operator receive,0.00031707233335491036,4
277,mobile mths update,0.00031707233335491036,4
278,mobile ppm prize,0.00031707233335491036,4
279,national per pound,0.00031707233335491036,4
280,national per prize,0.00031707233335491036,4
281,net pls qxj,0.00031707233335491036,4
282,network new per,0.00031707233335491036,4
283,new per phone,0.00031707233335491036,4
284,nokia offer start,0.00031707233335491036,4
285,nokia phone player,0.00031707233335491036,4
286,number please quoting,0.00031707233335491036,4
287,offer optout orange,0.00031707233335491036,4
288,offer start txt,0.00031707233335491036,4
289,optout orange price,0.00031707233335491036,4
290,part row send,0.00031707233335491036,4
291,per pound prize,0.00031707233335491036,4
292,per prize rate,0.00031707233335491036,4
293,phone player prize,0.00031707233335491036,4
294,player prize txt,0.00031707233335491036,4
295,player quiz sony,0.00031707233335491036,4
296,pound prize rate,0.00031707233335491036,4
297,ppm prize reach,0.00031707233335491036,4
298,ppm prize urgent,0.00031707233335491036,4
299,ppmx tncs txt,0.00031707233335491036,4
300,quiz sony sunshine,0.00031707233335491036,4
301,rate receive selected,0.00031707233335491036,4
302,rate reply ringtones,0.00031707233335491036,4
303,receive selected standard,0.00031707233335491036,4
304,reference ringtone service,0.00031707233335491036,4
305,reply tell tone,0.00031707233335491036,4
306,revealed service someone,0.00031707233335491036,4
307,row suite txt,0.00031707233335491036,4
308,savamob sub text,0.00031707233335491036,4
309,send suite take,0.00031707233335491036,4
310,service stop text,0.00031707233335491036,4
311,service thanks tone,0.00031707233335491036,4
312,shopping skilgme spree,0.00031707233335491036,4
313,sony sunshine top,0.00031707233335491036,4
314,start txt txtauction,0.00031707233335491036,4
315,suite take win,0.00031707233335491036,4
316,sunshine top txt,0.00031707233335491036,4
317,text today voucher,0.00031707233335491036,4
318,tncs txt voucher,0.00031707233335491036,4
319,today urawinner user,0.00031707233335491036,4
320,today voucher worth,0.00031707233335491036,4
321,tone txt txtin,0.00031707233335491036,4
322,top txt tyrone,0.00031707233335491036,4
323,tried unlimited video,0.00031707233335491036,4
324,txt txtauction word,0.00031707233335491036,4
325,txt txtin week,0.00031707233335491036,4
326,txt voucher weekly,0.00031707233335491036,4
327,urawinner user www,0.00031707233335491036,4
328,video want week,0.00031707233335491036,4
329,abta await box,0.002384444141252991,3
330,account bonus call,0.002384444141252991,3
331,advise awarded bonus,0.002384444141252991,3
332,age awarded break,0.002384444141252991,3
333,age com draw,0.002384444141252991,3
334,alfie charity child,0.002384444141252991,3
335,answer bonus com,0.002384444141252991,3
336,apply chance comp,0.002384444141252991,3
337,attempt call callcost,0.002384444141252991,3
338,award call cash,0.002384444141252991,3
339,awarded break city,0.002384444141252991,3
340,back call free,0.002384444141252991,3
341,balance box cash,0.002384444141252991,3
342,biz collect gbp,0.002384444141252991,3
343,bonus call caller,0.002384444141252991,3
344,bonus call claim,0.002384444141252991,3
345,bonus call customer,0.002384444141252991,3
346,bonus com easy,0.002384444141252991,3
347,break city could,0.002384444141252991,3
348,call callcost contact,0.002384444141252991,3
349,call camera cross,0.002384444141252991,3
350,call camera free,0.002384444141252991,3
351,call chat cum,0.002384444141252991,3
352,call cinema congrats,0.002384444141252991,3
353,call claim congratulation,0.002384444141252991,3
354,call customer delivery,0.002384444141252991,3
355,call customer following,0.002384444141252991,3
356,call customer freephone,0.002384444141252991,3
357,call delivery five,0.002384444141252991,3
358,call free help,0.002384444141252991,3
359,call new please,0.002384444141252991,3
360,callcost contact csbcm,0.002384444141252991,3
361,caller contact mobile,0.002384444141252991,3
362,caller mobile ppm,0.002384444141252991,3
363,camcorder colour deliveredtomorrow,0.002384444141252991,3
364,camera free half,0.002384444141252991,3
365,card collection eerie,0.002384444141252991,3
366,cash claim flight,0.002384444141252991,3
367,cash collection holiday,0.002384444141252991,3
368,cash currently land,0.002384444141252991,3
369,chance comp detail,0.002384444141252991,3
370,chance custcare every,0.002384444141252991,3
371,charity child mob,0.002384444141252991,3
372,chat find know,0.002384444141252991,3
373,child mob moon,0.002384444141252991,3
374,choice com draw,0.002384444141252991,3
375,cinema congrats dont,0.002384444141252991,3
376,city could every,0.002384444141252991,3
377,claim congratulation easy,0.002384444141252991,3
378,claim customer end,0.002384444141252991,3
379,claim discount last,0.002384444141252991,3
380,collect gbp mobile,0.002384444141252991,3
381,collect guaranteed ibhltd,0.002384444141252991,3
382,collection eerie free,0.002384444141252991,3
383,colour deliveredtomorrow free,0.002384444141252991,3
384,com draw enter,0.002384444141252991,3
385,com draw every,0.002384444141252991,3
386,com easy genuine,0.002384444141252991,3
387,comp detail entry,0.002384444141252991,3
388,complimentary holiday landline,0.002384444141252991,3
389,congrats dont etc,0.002384444141252991,3
390,congratulation draw entry,0.002384444141252991,3
391,congratulation easy friend,0.002384444141252991,3
392,contact csbcm max,0.002384444141252991,3
393,contact easy min,0.002384444141252991,3
394,contacted dating find,0.002384444141252991,3
395,currently land maximize,0.002384444141252991,3
396,currently maximize msg,0.002384444141252991,3
397,customer end free,0.002384444141252991,3
398,customer following mob,0.002384444141252991,3
399,customer freephone important,0.002384444141252991,3
400,dating entered fancy,0.002384444141252991,3
401,day euro get,0.002384444141252991,3
402,deliveredtomorrow free minute,0.002384444141252991,3
403,delivery five min,0.002384444141252991,3
404,direct dogging get,0.002384444141252991,3
405,dogging get join,0.002384444141252991,3
406,dont etc free,0.002384444141252991,3
407,double free latest,0.002384444141252991,3
408,draw entry free,0.002384444141252991,3
409,draw every gift,0.002384444141252991,3
410,easy friend good,0.002384444141252991,3
411,easy genuine hmv,0.002384444141252991,3
412,easy min national,0.002384444141252991,3
413,eerie free halloween,0.002384444141252991,3
414,entered fancy find,0.002384444141252991,3
415,entry every free,0.002384444141252991,3
416,etc free matrix,0.002384444141252991,3
417,fancy find landline,0.002384444141252991,3
418,final invited land,0.002384444141252991,3
419,find landline phone,0.002384444141252991,3
420,five min network,0.002384444141252991,3
421,following mob pleased,0.002384444141252991,3
422,free get great,0.002384444141252991,3
423,free get help,0.002384444141252991,3
424,free gift guaranteed,0.002384444141252991,3
425,free half latest,0.002384444141252991,3
426,free halloween logo,0.002384444141252991,3
427,free help homeowner,0.002384444141252991,3
428,free linerental min,0.002384444141252991,3
429,free matrix miss,0.002384444141252991,3
430,friend good minute,0.002384444141252991,3
431,game get mobile,0.002384444141252991,3
432,gbp mobile mtmsg,0.002384444141252991,3
433,genuine hmv info,0.002384444141252991,3
434,get ipod pod,0.002384444141252991,3
435,get join laid,0.002384444141252991,3
436,gift guaranteed ldew,0.002384444141252991,3
437,gift ldew music,0.002384444141252991,3
438,good minute national,0.002384444141252991,3
439,goto help inclusive,0.002384444141252991,3
440,guaranteed ibhltd ipod,0.002384444141252991,3
441,guaranteed ldew music,0.002384444141252991,3
442,half latest line,0.002384444141252991,3
443,halloween logo message,0.002384444141252991,3
444,handset min network,0.002384444141252991,3
445,help homeowner loan,0.002384444141252991,3
446,hmv info percent,0.002384444141252991,3
447,holiday landline please,0.002384444141252991,3
448,homeowner loan previously,0.002384444141252991,3
449,ibhltd ipod latest,0.002384444141252991,3
450,ibiza landline ppm,0.002384444141252991,3
451,info percent play,0.002384444141252991,3
452,ipod latest ldnw,0.002384444141252991,3
453,ipod pod rate,0.002384444141252991,3
454,know land ldn,0.002384444141252991,3
455,land ldn let,0.002384444141252991,3
456,land ldn msgrcvdhg,0.002384444141252991,3
457,landline phone pobox,0.002384444141252991,3
458,last prize show,0.002384444141252991,3
459,latest ldnw mtmsgrcvd,0.002384444141252991,3
460,latest line mobilesdirect,0.002384444141252991,3
461,ldn let msg,0.002384444141252991,3
462,ldn msgrcvdhg row,0.002384444141252991,3
463,ldnw mtmsgrcvd nokia,0.002384444141252991,3
464,let msg rcvd,0.002384444141252991,3
465,line min mobileupd,0.002384444141252991,3
466,line min network,0.002384444141252991,3
467,line mobilesdirect mths,0.002384444141252991,3
468,loan previously purpose,0.002384444141252991,3
469,logo message mob,0.002384444141252991,3
470,lucky onto orange,0.002384444141252991,3
471,matrix miss pas,0.002384444141252991,3
472,message new please,0.002384444141252991,3
473,min mobileupd mths,0.002384444141252991,3
474,min national per,0.002384444141252991,3
475,min network offer,0.002384444141252991,3
476,miss pas special,0.002384444141252991,3
477,mob moon need,0.002384444141252991,3
478,mob pleased prize,0.002384444141252991,3
479,mobile mtmsg must,0.002384444141252991,3
480,mobile ntt ppm,0.002384444141252991,3
481,mobile number prize,0.002384444141252991,3
482,mobile prize urgent,0.002384444141252991,3
483,mobilesdirect mths orange,0.002384444141252991,3
484,moon need nokias,0.002384444141252991,3
485,msg netcollex per,0.002384444141252991,3
486,msg opt per,0.002384444141252991,3
487,msg pound send,0.002384444141252991,3
488,msg rcvd row,0.002384444141252991,3
489,msgrcvdhg row suite,0.002384444141252991,3
490,mths orange phone,0.002384444141252991,3
491,mtmsg must new,0.002384444141252991,3
492,mtmsgrcvd nokia phone,0.002384444141252991,3
493,must new nokia,0.002384444141252991,3
494,need nokias poly,0.002384444141252991,3
495,new nokia optout,0.002384444141252991,3
496,new please voicemail,0.002384444141252991,3
497,nokia optout today,0.002384444141252991,3
498,nokias poly polys,0.002384444141252991,3
499,noline play polyph,0.002384444141252991,3
500,ntwk optout phone,0.002384444141252991,3
501,number prize urgent,0.002384444141252991,3
502,onto surprise today,0.002384444141252991,3
503,optout phone price,0.002384444141252991,3
504,optout today txt,0.002384444141252991,3
505,orange phone price,0.002384444141252991,3
506,pas special starwars,0.002384444141252991,3
507,per phone pound,0.002384444141252991,3
508,percent play pound,0.002384444141252991,3
509,phone pobox service,0.002384444141252991,3
510,phone pound reply,0.002384444141252991,3
511,pic plus spook,0.002384444141252991,3
512,play polyph rentl,0.002384444141252991,3
513,play pound question,0.002384444141252991,3
514,pleased prize recent,0.002384444141252991,3
515,pls qxj service,0.002384444141252991,3
516,pobox revealed service,0.002384444141252991,3
517,point private show,0.002384444141252991,3
518,polyph rentl videochat,0.002384444141252991,3
519,polys profit song,0.002384444141252991,3
520,pound question real,0.002384444141252991,3
521,pound reply text,0.002384444141252991,3
522,pound row send,0.002384444141252991,3
523,pound send tcr,0.002384444141252991,3
524,ppermesssubscription skillgame starting,0.002384444141252991,3
525,ppm prize stop,0.002384444141252991,3
526,previously purpose refused,0.002384444141252991,3
527,price rental stoptxt,0.002384444141252991,3
528,private show statement,0.002384444141252991,3
529,prize rate thanks,0.002384444141252991,3
530,prize recent review,0.002384444141252991,3
531,prize txt word,0.002384444141252991,3
532,profit song tell,0.002384444141252991,3
533,purpose refused still,0.002384444141252991,3
534,question real send,0.002384444141252991,3
535,qxj service stop,0.002384444141252991,3
536,rate thanks xmas,0.002384444141252991,3
537,rcvd row send,0.002384444141252991,3
538,real send special,0.002384444141252991,3
539,recent review valued,0.002384444141252991,3
540,refused still tenant,0.002384444141252991,3
541,reply service stop,0.002384444141252991,3
542,reply text tried,0.002384444141252991,3
543,reply text want,0.002384444141252991,3
544,reward selected valid,0.002384444141252991,3
545,ringtone send stop,0.002384444141252991,3
546,ringtones text tone,0.002384444141252991,3
547,sae tenerife urgent,0.002384444141252991,3
548,selected today vodafone,0.002384444141252991,3
549,selected valid valued,0.002384444141252991,3
550,send special voucher,0.002384444141252991,3
551,send suite year,0.002384444141252991,3
552,show statement unredeemed,0.002384444141252991,3
553,show trying urgent,0.002384444141252991,3
554,skilgme spree store,0.002384444141252991,3
555,skillgame starting tscs,0.002384444141252991,3
556,special starwars suprman,0.002384444141252991,3
557,special voucher www,0.002384444141252991,3
558,spree store summer,0.002384444141252991,3
559,starting tscs txt,0.002384444141252991,3
560,starwars suprman year,0.002384444141252991,3
561,std txt weekly,0.002384444141252991,3
562,still tenant text,0.002384444141252991,3
563,store summer tscs,0.002384444141252991,3
564,suite txt xchat,0.002384444141252991,3
565,tenant text welcome,0.002384444141252991,3
566,text tomorrow video,0.002384444141252991,3
567,text tried unlimited,0.002384444141252991,3
568,tscs txt voucher,0.002384444141252991,3
569,tscs txt win,0.002384444141252991,3
570,txt win winawk,0.002384444141252991,3
571,txt win www,0.002384444141252991,3
572,urgent valid weekend,0.002384444141252991,3
573,valid valued winner,0.002384444141252991,3
574,voucher week www,0.002384444141252991,3
575,voucher win wkly,0.002384444141252991,3
576,week win winaweek,0.002384444141252991,3
577,weekly win www,0.002384444141252991,3
578,win winaweek word,0.002384444141252991,3
579,winaweek word www,0.002384444141252991,3
580,http offer please,0.002384444141252991,3
581,music ppermesssubscription skillgame,0.002384444141252991,3
582,optout orange sonyericsson,0.002384444141252991,3
583,poly polys profit,0.002384444141252991,3
584,result send stop,0.002384444141252991,3
585,song tell tone,0.002384444141252991,3
586,summer tscs txt,0.002384444141252991,3
587,voucher weekly win,0.002384444141252991,3
588,call later sorry,0.01710034474033803,31
589,aathi lot love,1.0,3
590,accept belovd best,1.0,3
591,activity befor check,1.0,3
592,advance family happy,1.0,3
593,affection angry bcums,1.0,4
594,afternoon arrested brilliant,1.0,3
595,always amp argue,1.0,3
596,amp argue argument,1.0,3
597,amp blood clean,1.0,4
598,amp cartoon church,1.0,3
599,amp crack even,1.0,3
600,amp day dear,1.0,3
601,amp fine happy,1.0,3
602,amt arng bmw,1.0,3
603,angry bcums care,1.0,4
604,another bay blue,1.0,4
605,answer askd hour,1.0,3
606,apartment askd bos,1.0,3
607,argue argument correct,1.0,3
608,argument correct dont,1.0,3
609,arng bmw buy,1.0,3
610,arrested brilliant called,1.0,3
611,askd bos cabin,1.0,3
612,askd hour question,1.0,3
613,atlanta great guy,1.0,3
614,back come day,1.0,3
615,bay blue come,1.0,4
616,bcums care childish,1.0,4
617,beautiful carefully feel,1.0,4
618,bedroom cake came,1.0,3
619,befor check room,1.0,3
620,belovd best brother,1.0,3
621,best brother bstfrnd,1.0,3
622,birthday convey dnt,1.0,3
623,birthday convey favour,1.0,3
624,birthday day dear,1.0,3
625,blood clean god,1.0,4
626,blue come day,1.0,4
627,bmw buy car,1.0,3
628,bos cabin day,1.0,3
629,brain dear hahaha,1.0,3
630,brilliant called case,1.0,3
631,brother bstfrnd clos,1.0,3
632,bstfrnd clos cutefrnd,1.0,3
633,buy car dis,1.0,3
634,cabin day entered,1.0,3
635,cake came latr,1.0,3
636,call good morning,1.0,3
637,call home please,1.0,3
638,call message missed,1.0,3
639,call please work,1.0,3
640,called case child,1.0,3
641,caller callertune copy,1.0,5
642,callertune copy friend,1.0,5
643,calling dont thnk,1.0,3
644,came latr mind,1.0,3
645,car dis lac,1.0,3
646,care childish coz,1.0,4
647,case child cook,1.0,3
648,character jada kusruthi,1.0,4
649,child cook cooking,1.0,3
650,childish coz day,1.0,4
651,church eve listening,1.0,3
652,clean god heart,1.0,4
653,clos cutefrnd day,1.0,3
654,close dificult easy,1.0,3
655,closed coz govt,1.0,4
656,colleague day even,1.0,3
657,com contact free,1.0,3
658,come created fill,1.0,3
659,come day ended,1.0,4
660,come job search,1.0,3
661,convey dnt favor,1.0,3
662,convey favour nimya,1.0,3
663,cook cooking decimal,1.0,3
664,cooking decimal everyone,1.0,3
665,copy friend melle,1.0,3
666,correct dont friend,1.0,3
667,cover dictionary gently,1.0,3
668,coz day deep,1.0,4
669,coz govt holiday,1.0,4
670,crack even god,1.0,3
671,created fill finger,1.0,3
672,cute good person,1.0,3
673,cutefrnd day dear,1.0,3
674,dat dearer dem,1.0,3
675,dat get girl,1.0,3
676,day dear enemy,1.0,3
677,day dear good,1.0,3
678,day dear gud,1.0,4
679,day dear happy,1.0,3
680,day deep dnt,1.0,4
681,day ended gud,1.0,3
682,day entered felt,1.0,3
683,day even forgot,1.0,3
684,day good hope,1.0,3
685,dear enemy jstfrnd,1.0,3
686,dear friendship good,1.0,4
687,dear good great,1.0,3
688,dear gud hav,1.0,3
689,dear hahaha use,1.0,3
690,dear happy heart,1.0,3
691,decimal everyone found,1.0,3
692,deep dnt kettoda,1.0,4
693,dem feel happiness,1.0,3
694,dictionary gently hand,1.0,3
695,dificult easy either,1.0,3
