,Words,P-Value,Frequency
86,colour,9.046801018662976e-14,23
87,club,1.2043680427899068e-13,17
88,suite,1.3721251258517957e-13,19
89,every,4.566146674783524e-13,66
90,freemsg,4.81499733177494e-13,14
91,wkly,4.81499733177494e-13,14
92,gift,7.871140578057583e-13,27
93,mths,8.771968667308475e-13,16
94,quiz,8.771968667308475e-13,16
95,final,9.524409476628574e-13,18
96,statement,9.524409476628574e-13,18
97,credit,2.3541173020608217e-12,23
98,txts,3.707592683068283e-12,13
99,live,9.654893808077948e-12,41
100,tried,1.4330570832997694e-11,22
101,row,2.3288397838696912e-11,20
102,complimentary,2.848069415159259e-11,12
103,ipod,2.848069415159259e-11,12
104,redeemed,2.848069415159259e-11,12
105,rental,2.848069415159259e-11,12
106,congratulation,4.46550023242803e-11,16
107,price,1.9531363747734248e-10,27
108,charged,2.1825998039982498e-10,11
109,fantasy,2.1825998039982498e-10,11
110,std,2.1825998039982498e-10,11
111,game,2.3338906297178915e-10,33
112,update,5.072399639852668e-10,20
113,come,6.481062106117402e-10,236
114,lor,7.167988127814828e-10,145
115,top,7.996724822954232e-10,23
116,content,1.4123536568917263e-09,16
117,find,1.5275489109010028e-09,84
118,xmas,1.5604995460321176e-09,21
119,admirer,1.66864915670366e-09,10
120,custcare,1.66864915670366e-09,10
121,getzed,1.66864915670366e-09,10
122,ldn,1.66864915670366e-09,10
123,ntt,1.66864915670366e-09,10
124,representative,1.66864915670366e-09,10
125,reveal,1.66864915670366e-09,10
126,max,2.305865154171604e-09,12
127,message,3.952300306280903e-09,113
128,hot,4.3110704605154705e-09,22
129,net,4.3110704605154705e-09,22
130,worth,5.2795779819350085e-09,17
131,later,6.01681937335086e-09,132
132,number,6.088567025870988e-09,101
133,double,8.619229153543023e-09,20
134,sub,8.828227758849918e-09,15
135,pic,1.141860178587038e-08,29
136,bluetooth,1.272699041228507e-08,9
137,ldew,1.272699041228507e-08,9
138,rcvd,1.272699041228507e-08,9
139,reward,1.272699041228507e-08,9
140,ringtones,1.272699041228507e-08,9
141,specially,1.272699041228507e-08,9
142,motorola,1.319660837989382e-08,13
143,sex,1.319660837989382e-08,13
144,valued,1.319660837989382e-08,13
145,txting,1.6172731659432695e-08,11
146,home,2.0945014429846124e-08,165
147,join,2.5370448317290282e-08,27
148,word,2.6973887141798127e-08,59
149,account,2.9429358485738015e-08,37
150,anytime,3.1076343408682664e-08,16
151,got,4.970205881923226e-08,241
152,auction,8.55080435096145e-08,12
153,comp,8.55080435096145e-08,12
154,direct,8.55080435096145e-08,12
155,fancy,9.29900196935232e-08,17
156,awaiting,9.684083748712634e-08,8
157,dogging,9.684083748712634e-08,8
158,entitled,9.684083748712634e-08,8
159,freephone,9.684083748712634e-08,8
160,inc,9.684083748712634e-08,8
161,polys,9.684083748712634e-08,8
162,ppmx,9.684083748712634e-08,8
163,savamob,9.684083748712634e-08,8
164,wap,9.684083748712634e-08,8
165,del,1.1225312962622897e-07,10
166,order,1.1705344026179007e-07,20
167,say,1.193519878508215e-07,113
168,term,1.7907888690465723e-07,15
169,caller,2.455371235726424e-07,18
170,get,3.229210798256875e-07,383
171,currently,3.2654979095480593e-07,13
172,match,5.046909654059396e-07,16
173,discount,5.446199357183673e-07,11
174,member,5.446199357183673e-07,11
175,play,5.499753613425048e-07,39
176,help,6.155579652904499e-07,59
177,tscs,7.351328964510257e-07,7
178,biz,7.351328964510257e-07,7
179,logo,7.351328964510257e-07,7
180,maximize,7.351328964510257e-07,7
181,tenerife,7.351328964510257e-07,7
182,digital,7.69757371894625e-07,9
183,ending,7.69757371894625e-07,9
184,england,7.69757371894625e-07,9
185,norm,7.69757371894625e-07,9
186,sunshine,7.69757371894625e-07,9
187,user,7.69757371894625e-07,9
188,going,7.881730372273016e-07,167
189,point,1.0471293082920736e-06,33
190,sorry,1.1888606707462314e-06,151
191,enter,1.9219727354854154e-06,12
192,sony,3.3997988585269755e-06,10
193,much,3.98650364272868e-06,109
194,sexy,4.141141756513946e-06,25
195,special,4.628883332954647e-06,48
196,charge,5.136775449160586e-06,22
197,player,5.136775449160586e-06,22
198,dvd,5.2032069305310125e-06,8
199,balance,5.511721842995422e-06,13
200,unlimited,5.511721842995422e-06,13
201,secret,6.2628244429430856e-06,16
202,welcome,6.2628244429430856e-06,16
203,ask,7.911928830921162e-06,83
204,wat,8.72044381717985e-06,102
205,good,9.695769541479589e-06,232
206,said,1.2114488847958606e-05,80
207,choose,1.3410574334265537e-05,17
208,way,2.0590060428085913e-05,98
209,flight,2.0720393530009887e-05,9
210,information,2.9197307387461136e-05,12
211,morning,3.1116334001572695e-05,77
212,mate,3.2432246827568154e-05,29
213,anything,4.311521374155199e-05,72
214,lol,4.698998846487699e-05,74
215,congrats,4.954049715806809e-05,19
216,news,4.954049715806809e-05,19
217,love,5.510318093085922e-05,182
218,fantastic,6.11354343715589e-05,10
219,store,6.709467614135805e-05,13
220,amp,6.714790740956708e-05,70
221,already,6.77532262665192e-05,89
222,real,7.143670536160465e-05,39
223,easy,7.639508986526871e-05,31
224,happy,0.00010080092896452431,86
225,yeah,0.00010080092896452431,86
226,something,0.0001076045876659551,68
227,sure,0.0001076045876659551,68
228,like,0.00011427425956342114,231
229,goto,0.00012263459101258928,8
230,replying,0.00012263459101258928,8
231,really,0.00014996488482827151,83
232,feel,0.00015440211065185721,63
233,important,0.0001649281793993942,25
234,question,0.0002346782803010511,34
235,either,0.00023808273420146943,22
236,waiting,0.0002488537585633052,52
237,trying,0.000258047736270889,43
238,thing,0.00031134483763722745,106
239,area,0.00031636346295392016,12
240,etc,0.00031636346295392016,12
241,extra,0.00031636346295392016,12
242,gay,0.0003264642147669646,9
243,always,0.0003628183512946441,57
244,still,0.00036411024731829503,154
245,nice,0.0003765234654094556,59
246,work,0.0004443003668309675,102
247,end,0.0004973191948344324,50
248,sleep,0.0005730366045194043,56
249,gonna,0.0005730366045194043,0
250,within,0.0006071798300458058,13
251,condition,0.0006995226337448559,7
252,sport,0.0006995226337448559,7
253,hope,0.0007721414445238328,112
254,lucky,0.0007749232514600825,17
255,told,0.0008731559027408266,53
256,went,0.0008731559027408266,53
257,xxx,0.0009520737156713974,34
258,name,0.0009832641545468154,48
259,log,0.0010759688360346999,14
260,need,0.0012459392982175127,173
261,date,0.0012524236676340421,22
262,haha,0.0012998164305110442,49
263,coming,0.0013320375809259932,50
264,fine,0.0013320375809259932,50
265,gud,0.0013320375809259932,50
266,dun,0.0014131936462472353,51
267,asap,0.001415197669535037,11
268,entered,0.001415197669535037,11
269,link,0.001415197669535037,11
270,half,0.0014221805338978004,40
271,weekend,0.0014221805338978004,40
272,cancel,0.0016610069222424437,8
273,record,0.0016610069222424437,8
274,one,0.001663173020623649,170
275,well,0.001716134881642659,118
276,car,0.00199229411238305,46
277,mean,0.00199229411238305,46
278,thk,0.0020345000320211096,47
279,single,0.0025140399742808136,12
280,right,0.0026882632507376956,88
281,today,0.002760421720095212,180
282,saturday,0.002817966249339439,16
283,visit,0.002817966249339439,16
284,meeting,0.0030564628554029076,43
285,plan,0.0030564628554029076,43
286,thats,0.0030564628554029076,43
287,yup,0.0030564628554029076,43
288,bit,0.003111166546393788,44
289,hey,0.0032108326017110727,111
290,job,0.003275420852376184,45
291,cup,0.0033291932594891383,9
292,dat,0.004693421397204004,40
293,problem,0.004693421397204004,40
294,pick,0.004724865973879416,71
295,finish,0.004997598691585541,42
296,long,0.004997598691585541,42
297,part,0.005328206429986854,31
298,late,0.005449568062649944,57
299,immediately,0.005933939855307448,10
300,lar,0.007214150751747041,37
301,liao,0.007214150751747041,37
302,sweet,0.007214150751747041,37
303,smile,0.007303023826835014,38
304,lunch,0.007637193178286114,39
305,month,0.008110466005742202,47
306,speak,0.008686275558895229,33
307,frnd,0.009562893536897855,15
308,loan,0.009699578745824737,11
309,rply,0.009699578745824737,11
310,wait,0.009835668496343337,65
311,looking,0.010672312096213563,29
312,watching,0.011100429441292664,34
313,eat,0.011212045152589238,35
314,might,0.011212045152589238,35
315,quite,0.011212045152589238,35
316,person,0.011518425008838661,50
317,dinner,0.011690368488295013,36
318,next,0.012401803852315032,60
319,time,0.012869197282245344,234
320,picked,0.01421737911371291,8
321,pix,0.01421737911371291,8
322,registered,0.01421737911371291,8
323,luck,0.014832135630915221,12
324,surprise,0.014832135630915221,12
325,someone,0.016411049794155634,56
326,enjoy,0.01643202790553069,40
327,dunno,0.01710034474033803,31
328,early,0.01710034474033803,31
329,shall,0.01710034474033803,31
330,wont,0.01710034474033803,31
331,actually,0.01723996252039052,32
332,bus,0.01723996252039052,32
333,forgot,0.01723996252039052,32
334,jus,0.01723996252039052,32
335,kiss,0.01723996252039052,32
336,princess,0.01723996252039052,32
337,remember,0.01723996252039052,32
338,thanx,0.01723996252039052,32
339,watch,0.01723996252039052,32
340,worry,0.01723996252039052,32
341,thought,0.017537370440403065,48
342,aight,0.017926957629541048,33
343,probably,0.017926957629541048,33
344,start,0.01871287570473798,41
345,around,0.019909340593320127,57
346,nothing,0.8119932849236826,38
347,check,0.8133084706800708,39
348,ready,0.8176389621041193,41
349,talk,0.8296163545141595,47
350,may,0.8312120570263768,48
351,try,0.8334459188883299,49
352,hour,0.8398718146590494,52
353,believe,0.9999999999999988,20
354,old,0.9999999999999988,20
355,christmas,0.9999999999999993,11
356,could,0.9999999999999993,56
357,door,0.9999999999999993,11
358,dream,0.9999999999999993,26
359,fact,0.9999999999999993,11
360,laugh,0.9999999999999993,11
361,rock,0.9999999999999993,11
362,simple,0.9999999999999993,11
363,slow,0.9999999999999993,11
364,stay,0.9999999999999993,25
365,first,0.9999999999999996,62
366,couple,0.9999999999999997,13
367,hungry,0.9999999999999997,13
368,park,0.9999999999999997,13
369,completely,0.9999999999999998,9
370,drop,0.9999999999999998,19
371,ice,0.9999999999999998,9
372,kinda,0.9999999999999998,9
373,pub,0.9999999999999998,19
374,rose,0.9999999999999998,9
375,round,0.9999999999999998,9
376,bedroom,1.0,8
377,black,1.0,8
378,blue,1.0,10
379,busy,1.0,21
380,complete,1.0,8
381,confirm,1.0,12
382,cute,1.0,8
383,day,1.0,262
384,deal,1.0,10
385,dog,1.0,8
386,everyone,1.0,17
387,fall,1.0,8
388,forget,1.0,16
389,giving,1.0,8
390,glad,1.0,10
391,however,1.0,8
392,india,1.0,12
393,interested,1.0,8
394,load,1.0,12
395,lose,1.0,12
396,met,1.0,12
397,mistake,1.0,10
398,nite,1.0,31
399,opinion,1.0,10
400,page,1.0,10
401,paying,1.0,8
402,pete,1.0,10
403,return,1.0,12
404,search,1.0,17
405,sort,1.0,12
406,tell,1.0,140
407,town,1.0,28
408,turn,1.0,10
409,yesterday,1.0,24
410,bird,1.0,7
411,key,1.0,7
